"시점",계,15 - 19세,20 - 29세,30 - 39세,40 - 49세,50 - 59세,60세이상,15 - 64세,15 - 24세,15 - 29세
"시점",계,계,계,계,계,계,계,계,계,계
"2006.07",3.4,10.6,8.0,2.8,2.3,1.8,1.5,3.6,10.2,8.1
"2006.08",3.4,5.9,7.5,3.1,2.5,2.0,1.3,3.6,9.1,7.4
"2006.09",3.2,8.5,7.3,3.1,2.1,1.7,1.1,3.4,9.5,7.3
"2006.10",3.3,13.7,7.9,2.9,2.1,1.8,1.1,3.5,10.0,8.1
"2006.11",3.2,11.3,7.4,2.9,2.0,1.9,1.2,3.4,9.0,7.6
"2006.12",3.3,15.7,7.5,2.7,2.1,2.3,1.1,3.5,10.4,7.9
"2007.01",3.6,9.4,7.3,3.5,2.3,2.5,1.8,3.8,9.5,7.5
"2007.02",3.7,10.4,7.7,3.4,2.4,2.4,1.8,3.8,9.5,7.8
"2007.03",3.5,9.1,7.4,3.6,2.2,2.3,1.7,3.7,9.7,7.4
"2007.04",3.4,8.0,7.6,3.4,2.0,2.2,1.1,3.5,9.7,7.6
"2007.05",3.2,6.2,7.0,3.2,1.9,2.3,1.3,3.4,8.2,7.0
"2007.06",3.2,8.3,7.1,3.1,1.9,2.2,1.1,3.4,8.4,7.2
"2007.07",3.3,13.5,7.2,3.0,1.9,2.1,1.3,3.4,9.7,7.6
"2007.08",3.1,9.4,6.6,3.2,2.2,1.9,1.2,3.3,7.9,6.8
"2007.09",3.0,7.5,7.0,2.9,1.9,1.7,1.1,3.2,8.2,7.0
"2007.10",3.0,7.2,6.5,3.0,1.9,2.0,1.4,3.2,7.2,6.5
"2007.11",3.0,8.4,7.0,2.8,1.9,1.7,1.3,3.2,7.9,7.0
"2007.12",3.1,11.6,7.0,2.9,1.9,1.8,1.4,3.2,8.6,7.2
"2008.01",3.3,11.2,6.8,3.1,2.2,1.9,1.4,3.4,9.2,7.1
"2008.02",3.5,7.3,7.4,3.1,2.6,2.0,2.0,3.6,9.3,7.4
"2008.03",3.4,5.9,7.7,3.1,2.4,2.0,1.4,3.5,9.9,7.6
"2008.04",3.2,7.8,7.4,3.0,2.2,1.9,1.2,3.4,8.8,7.4
"2008.05",3.1,5.7,6.9,3.1,2.0,1.8,1.2,3.2,8.2,6.9
"2008.06",3.1,15.8,7.3,2.8,1.9,1.8,1.2,3.2,11.1,7.7
"2008.07",3.1,12.4,7.0,2.9,2.0,2.0,1.0,3.3,10.4,7.3
"2008.08",3.1,8.6,6.9,3.2,2.1,2.0,0.9,3.3,9.3,7.0
"2008.09",3.0,8.7,6.0,3.2,2.0,2.1,1.0,3.1,7.5,6.2
"2008.10",3.0,6.2,6.7,3.3,2.0,1.9,0.9,3.2,7.8,6.7
"2008.11",3.0,11.6,6.6,3.4,1.9,2.0,1.1,3.2,8.5,6.8
"2008.12",3.3,19.0,7.0,3.1,2.1,2.3,1.3,3.4,11.1,7.5
"2009.01",3.6,16.7,7.7,3.5,2.2,2.3,1.4,3.7,11.2,8.2
"2009.02",3.9,11.6,8.5,3.8,2.5,2.6,2.0,4.0,10.7,8.7
"2009.03",4.0,12.1,8.7,4.0,2.9,2.4,1.4,4.2,10.6,8.8
"2009.04",3.8,9.6,7.9,4.1,2.6,2.6,1.5,4.0,9.3,8.0
"2009.05",3.8,7.7,7.5,3.7,2.8,2.8,2.1,3.9,9.1,7.5
"2009.06",3.8,19.1,7.9,3.8,2.5,2.8,1.9,4.0,10.8,8.4
"2009.07",3.7,15.9,8.0,3.6,2.3,2.7,1.6,3.9,10.6,8.4
